2579,4950,7187,9505,11759,14082,16328,18483
3754,7383,11103,14738,18413,22192,25850,29397
1863,3664,5535,7351,9203,11100,12900,14718
1857,3665,5537,7375,9221,11101,12970,14769
1861,3670,5530,7350,9212,11119,12966,14705
1858,3667,5542,7383,9202,11111,12958,14766
1860,3678,5546,7362,9171,11109,12938,14709
3750,7379,11110,14717,18441,22240,25862,29474
4174,8149,12284,16320,20262,24194,28314,32145
3600,6800,10070,13343,16620,19998,23003,26134
