1819,3797,6335,9088
1848,3530,5221,7214
2257,4161,6169,8213
1777,3294,4909,6577
4514,8299,12455,16864
1733,3205,4772,6456
2088,3859,5781,7870
4680,9616,14656,20081
6071,12536,18516,25041
4784,9158,13985,19073
